UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
4,178.0,4.462151394422311,0.0,6.0,5.0,50.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.718281828459045
30,316.0,41.19521912350597,117.0,288.0,10.0,194.0,18.0,0.0,76.0,0.0,93.0,22.0,30.0,1.1513199777745544
38,317.0,5.896414342629482,3.0,59.0,1.0,5.0,9.0,0.0,6.0,0.0,24.0,11.0,5.0,1.547071263844742
77,50.0,43.58565737051793,285.0,486.0,0.0,0.0,64.0,0.0,117.0,0.0,349.0,31.0,94.0,1.1272337738823344
106,498.0,0.0796812749003984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
148,255.0,23.10756972111554,33.0,157.0,35.0,93.0,44.0,0.0,39.0,0.0,108.0,29.0,16.0,1.2620768033291097
164,259.0,0.39840637450199207,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
246,93.0,1.51394422310757,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
254,393.0,9.9601593625498,0.0,9.0,20.0,116.0,5.0,4.0,0.0,1.0,13.0,10.0,3.0,1.5423902651101746
274,94.0,4.382470119521913,1.0,40.0,7.0,4.0,5.0,0.0,8.0,0.0,17.0,11.0,4.0,1.4716197079686262
304,231.0,138.72509960159363,441.0,2247.0,74.0,382.0,202.0,0.0,248.0,0.0,542.0,47.0,126.0,1.095842127694727
356,43.0,21.752988047808763,35.0,196.0,14.0,51.0,26.0,0.0,21.0,0.0,85.0,16.0,22.0,1.273128519849633
360,104.0,13.386454183266931,0.0,31.0,71.0,149.0,2.0,0.0,2.0,0.0,6.0,6.0,1.0,2.718281828459045
377,156.0,89.24302788844622,0.0,2.0,122.0,1684.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.718281828459045
472,362.0,240.1593625498008,2534.0,6007.0,8.0,593.0,737.0,0.0,1060.0,4.0,2004.0,48.0,416.0,1.1055694890581924
508,148.0,2.549800796812749,1.0,6.0,4.0,21.0,2.0,0.0,3.0,0.0,6.0,5.0,2.0,1.8221188003905089
625,320.0,1.0358565737051793,1.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.718281828459045
626,343.0,51.31474103585658,57.0,191.0,69.0,698.0,30.0,8.0,36.0,6.0,82.0,25.0,10.0,1.3881889722894123
629,588.0,3.107569721115538,1.0,23.0,3.0,18.0,1.0,0.0,2.0,0.0,6.0,4.0,3.0,1.6487212707001282
807,316.0,5.099601593625498,2.0,30.0,25.0,29.0,5.0,0.0,1.0,0.0,16.0,10.0,6.0,1.3056051720649522
825,760.0,61.99203187250996,60.0,236.0,594.0,700.0,21.0,0.0,30.0,2.0,81.0,28.0,12.0,1.2726119329141985
896,182.0,5.4980079681274905,3.0,41.0,3.0,18.0,7.0,2.0,7.0,1.0,24.0,16.0,4.0,1.4549914146182013
1004,406.0,7.729083665338646,8.0,64.0,4.0,23.0,13.0,0.0,6.0,0.0,23.0,16.0,5.0,1.3330905921632026
1218,424.0,120.398406374502,336.0,1680.0,194.0,291.0,104.0,1.0,141.0,0.0,439.0,36.0,162.0,1.0781799072693545
1238,33.0,53.30677290836654,77.0,286.0,85.0,470.0,36.0,0.0,55.0,0.0,130.0,34.0,40.0,1.100305903565884
1264,104.0,225.1792828685259,650.0,4086.0,44.0,216.0,398.0,0.0,567.0,0.0,1427.0,62.0,140.0,1.1786867814352366
1277,1024.0,696.9721115537849,3357.0,26121.0,1900.0,10206.0,1346.0,3.0,2282.0,22.0,5338.0,71.0,1719.0,1.0447070717938847
1354,197.0,46.852589641434264,51.0,640.0,3.0,42.0,54.0,0.0,61.0,1.0,163.0,20.0,45.0,1.1985483439332418
1381,989.0,294.8207171314741,108.0,1736.0,510.0,5476.0,217.0,9.0,191.0,2.0,470.0,49.0,59.0,1.1765347952580016
1493,217.0,159.12350597609563,585.0,2854.0,63.0,32.0,385.0,0.0,340.0,3.0,1208.0,64.0,262.0,1.0747004641284827
1649,75.0,6.294820717131475,1.0,41.0,14.0,40.0,3.0,0.0,2.0,0.0,17.0,6.0,4.0,2.030604096634748
1685,139.0,14.900398406374503,16.0,186.0,0.0,63.0,13.0,7.0,18.0,9.0,25.0,4.0,15.0,1.5168967963882134
1776,716.0,0.0796812749003984,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
